category,quarter,return_1yr
Aggressive,2010-06-30,10.67
Aggressive,2010-12-31,6.25
Aggressive,2011-03-31,6.78
Aggressive,2011-06-30,11.98
Aggressive,2011-09-30,-3.49
Aggressive,2011-12-31,-4.8
Aggressive,2012-03-31,-2.1
Aggressive,2012-06-30,-2.7
Aggressive,2012-09-30,12.6
Aggressive,2012-12-31,13.8
Aggressive,2013-03-31,12.7
Aggressive,2013-06-30,18.7
Aggressive,2013-09-30,17.1
Balanced,2010-06-30,9.64
Balanced,2010-12-31,6.01
Balanced,2011-03-31,6.04
Balanced,2011-06-30,9.78
Balanced,2011-09-30,0.66
Balanced,2011-12-31,3.4
Balanced,2012-03-31,2.8
Balanced,2012-06-30,2.0
Balanced,2012-09-30,11.6
Balanced,2012-12-31,12.4
Balanced,2013-03-31,12.0
Balanced,2013-06-30,14.0
Balanced,2013-09-30,11.9
Conservative,2010-06-30,7.27
Conservative,2010-12-31,5.63
Conservative,2011-03-31,5.4
Conservative,2011-06-30,6.64
Conservative,2011-09-30,3.34
Conservative,2011-12-31,4.3
Conservative,2012-03-31,5.0
Conservative,2012-06-30,4.8
Conservative,2012-09-30,7.8
Conservative,2012-12-31,7.9
Conservative,2013-03-31,7.9
Conservative,2013-06-30,7.1
Conservative,2013-09-30,6.1
Growth,2010-06-30,10.16
Growth,2010-12-31,6.19
Growth,2011-03-31,6.91
Growth,2011-06-30,12.19
Growth,2011-09-30,-0.2
Growth,2011-12-31,-0.4
Growth,2012-03-31,2.1
Growth,2012-06-30,0.7
Growth,2012-09-30,13.1
Growth,2012-12-31,14.0
Growth,2013-03-31,13.4
Growth,2013-06-30,16.8
Growth,2013-09-30,14.5
Moderate,2010-06-30,9.57
Moderate,2010-12-31,6.06
Moderate,2011-03-31,6.03
Moderate,2011-06-30,8.65
Moderate,2011-09-30,2.62
Moderate,2011-12-31,3.6
Moderate,2012-03-31,4.9
Moderate,2012-06-30,4.4
Moderate,2012-09-30,9.6
Moderate,2012-12-31,9.7
Moderate,2013-03-31,9.5
Moderate,2013-06-30,9.2
Moderate,2013-09-30,7.2
