fund_name,provider,quarter,fee,return_1yr,return_5yr,risk,fum,members,alloc_cash,alloc_nz_fixed,alloc_intl_fixed,alloc_aus_equities,alloc_intl_equities,alloc_listed_property,alloc_unlisted_property,alloc_other,alloc_commodities
AMP Aggressive Fund,AMP KiwiSaver Scheme,2013-09-30,1.14,15.66,,,147282508.4,21235,5.59,1.09,1.12,22.52,51.05,4.72,4.22,9.7,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2013-12-31,1.14,15.47,,,156349759.79,21394,7.39,1.01,1.05,22.0,48.84,8.51,1.32,9.88,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2014-03-31,1.14,10.3,,,164356277.38,21601,7.83,1.03,1.08,22.37,47.36,5.92,4.13,10.28,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2014-06-30,1.18,15.2,,,174209110.36,21874,9.83,0.92,0.99,21.64,46.67,6.0,3.93,10.02,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2014-09-30,1.18,12.37,,,188781435.06,22105,8.95,0.99,1.05,22.21,47.02,5.78,4.13,9.87,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2014-12-31,1.18,10.19,,,195265369.5,23201,8.24,0.99,0.94,22.25,47.0,9.06,0.42,11.1,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2015-03-31,1.18,13.44,,,209912965.2,22585,6.84,0.5,0.47,22.38,47.65,9.36,0.34,12.46,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2015-06-30,1.09,9.25,,,215248978.31,22883,6.8,0.51,0.47,22.65,47.83,9.29,0.0,12.45,
AMP Aggressive Fund,AMP KiwiSaver Scheme,2016-03-31,1.1,-1.07,,,222371510.23,22751,4.08,0.51,0.53,22.87,52.19,10.04,0.0,5.75,4.03
AMP Aggressive Fund,AMP KiwiSaver Scheme,2016-06-30,1.26,-2.0,,,224227712.0,22642,6.22,0.53,0.55,22.41,50.41,9.77,0.0,5.88,4.23
AMP Aggressive Fund,AMP KiwiSaver Scheme,2016-09-30,1.26,9.35,,,238745616.53,22364,9.01,0.53,0.55,22.95,55.33,8.72,0.0,0.0,2.91
AMP Aggressive Fund,AMP KiwiSaver Scheme,2016-12-31,1.26,6.83,,,239207622.94,22063,9.23,0.52,0.54,22.71,55.53,8.42,0.0,0.0,3.05
AMP Aggressive Fund,AMP KiwiSaver Scheme,2017-12-31,1.39,16.01,,,291654573.0,22749,7.2,1.48,2.45,24.78,55.54,7.15,0.0,0.0,1.4
AMP Aggressive Fund,AMP KiwiSaver Scheme,2018-03-31,1.39,6.9,,,283939993.83,22945,7.76,1.56,2.55,24.75,54.78,7.13,0.0,0.0,1.47
AMP Aggressive Fund,AMP KiwiSaver Scheme,2018-06-30,1.45,11.45,,,301555904.0,23233,7.57,1.48,2.47,25.23,54.7,7.13,0.0,0.0,1.42
AMP Aggressive Fund,AMP KiwiSaver Scheme,2018-09-30,1.45,11.94,,,320600282.0,23432,6.93,1.46,2.41,25.08,55.64,7.13,0.0,0.0,1.35
AMP Aggressive Fund,AMP KiwiSaver Scheme,2018-12-31,1.45,-4.83,,,283585676.27,23313,5.72,3.03,2.7,25.13,53.76,7.14,0.0,1.19,1.33
AMP Aggressive Fund,AMP KiwiSaver Scheme,2019-03-31,1.45,7.63,,,315720804.47,24029,4.24,2.9,1.09,24.84,57.15,7.33,0.0,1.16,1.29
AMP Aggressive Fund,AMP KiwiSaver Scheme,2019-06-30,1.12,6.47,,,330179350.82,24166,4.96,2.88,1.09,25.34,55.86,7.51,0.0,1.12,1.24
AMP Aggressive Fund,AMP KiwiSaver Scheme,2019-12-31,1.12,21.02,,,353906430.64,23953,5.49,2.8,1.08,24.89,56.25,7.08,0.0,1.15,1.26
AMP Aggressive Fund,AMP KiwiSaver Scheme,2020-03-31,1.12,-6.81,,,286960527.4,23688,5.22,3.04,1.34,24.22,57.18,6.74,0.0,1.07,1.19
AMP Aggressive Fund,AMP KiwiSaver Scheme,2020-06-30,1.27,-0.81,,,363817135.45,24439,10.51,2.65,1.17,24.04,53.49,6.16,0.0,0.93,1.05
AMP Aggressive Fund,AMP KiwiSaver Scheme,2020-09-30,1.27,-0.36,,,397821455.32,24608,6.91,2.92,1.12,24.4,55.56,7.02,0.0,0.93,1.14
AMP Aggressive Fund,AMP KiwiSaver Scheme,2020-12-31,1.27,4.26,,,449176741.36,24801,5.24,2.6,1.03,24.92,57.24,6.96,0.0,0.87,1.14
AMP Aggressive Fund,AMP KiwiSaver Scheme,2021-03-31,1.27,28.41,,,487344178.62,25346,4.19,2.68,0.94,24.29,58.9,6.91,0.0,0.88,1.21
AMP Aggressive Fund,AMP KiwiSaver Scheme,2021-09-30,1.35,17.78,,,577368768.4,27305,2.58,2.85,7.69,22.54,64.34,0.0,0.0,0.0,0.0
AMP Aggressive Fund,AMP KiwiSaver Scheme,2021-12-31,1.35,13.01,,,612377767.6,27642,2.7,2.88,7.62,21.22,65.58,0.0,0.0,0.0,0.0
AMP Aggressive Fund,AMP KiwiSaver Scheme,2022-03-31,1.35,1.92,,,577449506.7,27563,2.08,2.94,7.77,22.12,65.09,0.0,0.0,0.0,0.0
AMP Aggressive Fund,AMP KiwiSaver Scheme,2022-12-31,0.96,-14.75,,,562141126.8,27748,3.02,3.03,8.1,19.18,66.67,0.0,0.0,0.0,0.0
AMP Aggressive Fund (lifesteps),AMP KiwiSaver Scheme,2017-12-31,1.39,16.01,,,111552955.0,15426,7.2,1.48,2.45,24.78,55.54,7.15,0.0,0.0,1.4
AMP Aggressive Fund (lifesteps),AMP KiwiSaver Scheme,2018-03-31,1.39,6.9,,,106147325.07,15475,7.76,1.56,2.55,24.75,54.78,7.13,0.0,0.0,1.47
AMP Aggressive Fund (lifesteps),AMP KiwiSaver Scheme,2018-06-30,1.45,11.45,,,110539118.9,15567,7.57,1.48,2.47,25.23,54.7,7.13,0.0,0.0,1.42
AMP Aggressive Fund (lifesteps),AMP KiwiSaver Scheme,2018-09-30,1.45,11.94,,,116433781.47,15590,6.93,1.46,2.41,25.08,55.64,7.13,0.0,0.0,1.35
