id,name,provider,type,fee,return_1yr,return_5yr,risk_band,risk_lo,risk_hi,horizon_lo,horizon_hi,ethical,has_history,history_since
0,Aggressive Fund,Supereasy KiwiSaver Superannuation Scheme,Growth,0.5,11.72,7.51,4–5,4,5,6,12,False,False,
1,Aggressive Fund,Fisher Funds KiwiSaver Plan,Growth,1.23,1.65,,4–5,4,5,6,12,False,False,
2,Aggressive Fund,ASB KiwiSaver Scheme,Aggressive,0.75,12.64,,5–7,5,7,10,40,False,False,
3,Aggressive Fund,MAS KiwiSaver Scheme,Aggressive,0.97,12.18,6.08,5–7,5,7,10,40,False,True,2021
4,AMP Aggressive Fund,AMP KiwiSaver Scheme,Aggressive,0.85,13.26,6.7,5–7,5,7,10,40,False,True,2013
5,AMP Aggressive Fund (lifesteps),AMP KiwiSaver Scheme,Aggressive,0.85,13.26,6.7,5–7,5,7,10,40,False,True,2017
6,AMP Australasian Shares Fund,AMP KiwiSaver Scheme,Aggressive,0.83,4.81,1.33,5–7,5,7,10,40,False,True,2016
7,AMP Balanced Fund,AMP KiwiSaver Scheme,Balanced,0.85,8.96,4.55,3–4,3,4,4,9,False,True,2013
8,AMP Balanced Fund (lifesteps),AMP KiwiSaver Scheme,Balanced,0.85,8.96,4.55,3–4,3,4,4,9,False,True,2017
9,AMP Balanced Fund No. 2,AMP KiwiSaver Scheme,Balanced,0.85,9.0,4.54,3–4,3,4,4,9,False,True,2021
10,AMP Cash Fund,AMP KiwiSaver Scheme,Defensive,0.65,1.84,2.17,1–2,1,2,0,3,False,True,2016
11,AMP Conservative Fund,AMP KiwiSaver Scheme,Conservative,0.84,4.55,2.28,2–3,2,3,1,4,False,True,2013
12,AMP Conservative Fund (lifesteps),AMP KiwiSaver Scheme,Conservative,0.84,4.55,2.28,2–3,2,3,1,4,False,True,2017
13,AMP Defensive Conservative Fund,AMP KiwiSaver Scheme,Conservative,0.49,4.14,2.12,2–3,2,3,1,4,False,True,2021
14,AMP Global Fixed Interest Fund,AMP KiwiSaver Scheme,Defensive,0.84,0.69,-0.54,1–2,1,2,0,3,False,True,2021
15,AMP Growth Fund,AMP KiwiSaver Scheme,Growth,0.85,11.31,5.9,4–5,4,5,6,12,False,True,2013
16,AMP Growth Fund (lifesteps),AMP KiwiSaver Scheme,Growth,0.85,11.31,5.9,4–5,4,5,6,12,False,True,2017
17,AMP International Shares Fund,AMP KiwiSaver Scheme,Aggressive,0.85,14.95,9.88,5–7,5,7,10,40,False,True,2016
18,AMP Moderate Balanced Fund,AMP KiwiSaver Scheme,Balanced,0.84,7.87,3.78,3–4,3,4,4,9,False,True,2013
