Provider,Funds,Avg Fee %,Avg 1yr Return %,Avg 5yr Return %
0,14,0.636,0.6,
0.15,2,0.425,,
0.19,3,0.321,0.58,
0.2,2,0.253,-2.45,
0.25,17,0.26,1.14,
0.26,3,0.279,2.53,
0.27,2,0.42,2.0,
0.28,6,0.488,6.28,
0.29,3,0.39,2.4,
0.3,10,0.425,0.11,
0.30,7,0.508,4.26,
0.32,6,0.448,1.34,
0.33,3,0.384,2.88,
0.34,5,0.392,3.51,
0.35,44,0.526,5.63,
0.36,11,0.55,2.3,
0.37,15,0.554,3.59,
0.38,38,0.566,10.0,
0.39,8,0.484,5.33,
0.4,13,0.519,2.0,
0.40,8,0.526,7.22,
0.41,3,0.693,1.45,
0.42,3,0.434,1.31,
0.43,2,0.51,12.24,
0.45,17,0.541,2.38,
0.46,9,0.565,5.1,
0.47,11,0.575,5.25,
0.48,13,0.574,4.09,
0.49,11,0.599,2.93,
0.5,12,0.587,1.06,
0.50,6,0.635,3.57,
0.51,7,0.556,1.1,
0.52,9,0.581,0.78,
0.53,6,0.564,7.29,
0.54,16,0.688,1.4,
0.55,22,0.621,3.82,
0.56,13,0.582,11.24,
0.57,15,0.596,7.99,
0.58,34,0.606,8.57,
0.59,28,0.71,1.52,
0.6,12,0.671,2.83,
0.60,4,0.726,6.61,
0.61,10,0.687,6.16,
0.62,17,0.824,7.79,
0.63,12,0.697,3.03,
0.64,12,1.138,5.98,
0.65,19,1.0,5.0,
0.66,10,0.818,4.07,
0.67,10,0.846,3.42,
0.68,9,0.892,4.77,
0.69,7,0.823,5.74,
0.7,6,0.854,3.42,
0.70,4,0.896,6.37,
0.71,6,1.079,2.78,
0.72,12,0.85,3.97,
0.73,7,0.853,3.91,
0.74,7,0.994,4.54,
0.75,8,1.168,2.49,
0.76,3,1.081,5.0,
0.77,7,0.984,5.56,
0.78,7,0.935,0.5,
0.79,11,1.008,-1.64,
0.8,10,0.953,2.26,
0.80,6,0.957,6.82,
0.81,7,0.997,5.51,
0.82,12,0.984,5.07,
0.83,6,0.942,1.67,
0.84,7,0.988,2.86,
0.85,11,0.985,4.3,
0.86,9,0.97,3.26,
0.87,14,1.007,4.22,
0.88,12,1.003,3.66,
0.89,10,1.126,5.39,
0.9,17,0.994,5.16,
0.90,18,1.0,7.3,
0.91,7,1.178,4.51,
0.92,8,1.054,4.16,
0.93,8,1.114,2.58,
