From Period,To Period,Provider,Fund,Persistence Type
2016-03-31,2016-06-30,0.5,MERCER CONSERVATIVE FUND,Top-to-Top
2016-06-30,2016-09-30,1.03,FISHER BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.67,GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,0.62,BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.3,CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,BNZ KIWISAVER GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,0.34,NZ CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.81,RUSSELL LIFEPOINTS® TARGET DATE 2045 FUND,Top-to-Top
2016-09-30,2016-12-31,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,1.08,AMP AGGRESSIVE FUND,Top-to-Top
2016-09-30,2016-12-31,1.03,AMP AUSTRALASIAN SHARES FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.98,NIKKO AM CONSERVATIVE FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.09,CONSERVATIVE,Bottom-to-Bottom
2016-09-30,2016-12-31,0.93,ASB MODERATE FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.68,AMP CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.08,AMP RESPONSIBLE INVESTMENT BALANCED FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.95,BNZ KIWISAVER BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.98,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.98,ASB BALANCED FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,BALANCED,Bottom-to-Bottom
2016-09-30,2016-12-31,1.18,ANZ GROWTH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.32,MERCER CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.03,ASB GROWTH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.39,NIKKO CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.9,MERCER SHARES FUND,Top-to-Top
2016-09-30,2016-12-31,0.98,AMP INCOME GENERATOR FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.83,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.81,RUSSELL LIFEPOINTS® GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,1.43,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,GROWTH,Bottom-to-Bottom
2016-09-30,2016-12-31,0.74,RUSSELL LIFEPOINTS® BALANCED FUND,Top-to-Top
2016-09-30,2016-12-31,0.76,RUSSELL LIFEPOINTS® TARGET DATE 2035 FUND,Top-to-Top
2016-09-30,2016-12-31,1.09,QUAYSTREET NEW ZEALAND EQUITY FUND,Top-to-Top
2016-09-30,2016-12-31,0.73,AMP PASSIVE INTERNATIONAL SHARES FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.18,NIKKO AM GROWTH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.03,AMP PROPERTY FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,0.38,ANZ CASH FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.04,TRANS-TASMAN SHARE FUND,Top-to-Top
2016-09-30,2016-12-31,0.73,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2016-09-30,2016-12-31,1.41,GEARED GROWTH FUND,Top-to-Top
2016-09-30,2016-12-31,1.03,AMP INTERNATIONAL SHARES FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.34,NZ CASH FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,1.19,INTERNATIONAL SHARE FUND,Top-to-Top
2016-12-31,2017-12-31,0.85,LIFESTAGES AUTO OPTION AGE 0,Top-to-Top
2016-12-31,2017-12-31,0.98,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,1.17,ASSET CLASS GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,0.32,MERCER CASH FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.82,HIGH GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,0.83,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,1.43,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.32,CASH FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.85,LIFESTAGES HIGH GROWTH FUND,Top-to-Top
2016-12-31,2017-12-31,0.48,PRESERVATION FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,0.77,CAPITAL GUARANTEED FUND,Bottom-to-Bottom
2016-12-31,2017-12-31,1.04,TRANS-TASMAN SHARE FUND,Top-to-Top
2016-12-31,2017-12-31,0.73,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.90,SUMMER GLOBAL EQUITIES,Top-to-Top
2017-12-31,2018-03-31,0.90,MERCER SHARES FUND,Top-to-Top
2017-12-31,2018-03-31,0.55,NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.34,NZ CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.10,GLIDEPATH AGE 25,Top-to-Top
2017-12-31,2018-03-31,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.65,CPP FUND NO. 5,Top-to-Top
2017-12-31,2018-03-31,1.19,INTERNATIONAL SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,0.85,CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 1,Top-to-Top
2017-12-31,2018-03-31,0.87,AMP CONSERVATIVE FUND (LIFESTEPS),Bottom-to-Bottom
2017-12-31,2018-03-31,0.72,AMP CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.75,LIFESTAGES CAPITAL STABLE PORTFOLIO,Bottom-to-Bottom
2017-12-31,2018-03-31,1.10,EQUITY FUND,Top-to-Top
2017-12-31,2018-03-31,0.98,ANZ CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,FOCUSED GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.67,NIKKO CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.48,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.45,CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,STEPPING STONES 0-35,Top-to-Top
2017-12-31,2018-03-31,1.04,SOCIALLY RESPONSIBLE INVESTMENT GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.75,INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,Top-to-Top
2017-12-31,2018-03-31,0.32,MERCER CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.82,HIGH GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.69,ENHANCED INCOME FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,LIFESTAGES INCOME FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.33,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.00,INTERNATIONAL SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,0.83,AMP INTERNATIONAL FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.90,SHARES FUND,Top-to-Top
2017-12-31,2018-03-31,0.63,SUMMER GLOBAL FIXED INTEREST,Bottom-to-Bottom
2017-12-31,2018-03-31,1.43,AMP GLOBAL MULTI-ASSET FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 3,Top-to-Top
2017-12-31,2018-03-31,0.87,AMP CONSERVATIVE FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.95,INCOME STRATEGY,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 2,Top-to-Top
2017-12-31,2018-03-31,1.20,SUSTAINABLE INTERNATIONAL SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,1.00,AUSTRALASIAN SHARE FUND,Top-to-Top
2017-12-31,2018-03-31,0.73,AMP PASSIVE INTERNATIONAL SHARES FUND,Top-to-Top
2017-12-31,2018-03-31,0.90,SUMMER NEW ZEALAND CASH,Bottom-to-Bottom
2017-12-31,2018-03-31,0.32,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.18,NIKKO AM GROWTH FUND,Top-to-Top
2017-12-31,2018-03-31,0.30,CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.35,AMP DEFAULT FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.48,PRESERVATION FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.90,SUMMER NEW ZEALAND EQUITIES,Top-to-Top
2017-12-31,2018-03-31,0.25,BNZ KIWISAVER CASH FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.77,CAPITAL GUARANTEED FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,0.65,CPP FUND NO. 4,Top-to-Top
2017-12-31,2018-03-31,0.73,AMP NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2017-12-31,2018-03-31,1.03,AMP INTERNATIONAL SHARES FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,NZ TOP 10 ETF FUND,Top-to-Top
2018-03-31,2018-06-30,0.35,NZ DIVIDEND ETF FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.55,NEW ZEALAND FIXED INTEREST FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.34,NZ CASH FUND,Bottom-to-Bottom
2018-03-31,2018-06-30,0.82,MERCER HIGH GROWTH FUND,Top-to-Top
