Period,Fund Name,Provider,Total Drift %,Actual,Target
2021-09-30,LIFECYCLE - AGE 75,NEW ZEALAND FUNDS MANAGEMENT LIMITED,9937.96,"{'Cash and cash equivalents': 10.44, 'New Zealand fixed interest': 7.65, 'International fixed interest': 9.8, 'Australasian equities': 27.17, 'International equities': 24.9, 'Listed Properties': 1.06, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 2.62, 'Commodities': 16.36}","{'Cash and cash equivalents': 600.0, 'New Zealand fixed interest': 2000.0, 'International fixed interest': 2100.0, 'Australasian equities': 1800.0, 'International equities': 3300.0, 'Listed Properties': 200.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2021-09-30,MINT NEW ZEALAND SRI EQUITY FUND,MINT ASSET MANAGEMENT LIMITED,9912.53,"{'Cash and cash equivalents': 2.93, 'New Zealand fixed interest': 0.0, 'International fixed interest': 0.0, 'Australasian equities': 90.8, 'International equities': 0.0, 'Listed Properties': 6.26, 'Unlisted Properties': 0.0, 'Unknown': None, 'Other': 0.0, 'Commodities': 0.0}","{'Cash and cash equivalents': 500.0, 'New Zealand fixed interest': 0.0, 'International fixed interest': 0.0, 'Australasian equities': 9500.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2021-09-30,FISHER FUNDS INCOME FUND,FISHER FUNDS MANAGEMENT LIMITED,9900.0,"{'Cash and cash equivalents': 0.0, 'New Zealand fixed interest': 39.23, 'International fixed interest': 60.77, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 0.0, 'Commodities': 0.0}","{'Cash and cash equivalents': 0.0, 'New Zealand fixed interest': 4000.0, 'International fixed interest': 6000.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2021-09-30,NZ FUNDS INCOME GENERATOR,NEW ZEALAND FUNDS MANAGEMENT LIMITED,9900.0,"{'Cash and cash equivalents': 50.23, 'New Zealand fixed interest': 0.0, 'International fixed interest': 0.0, 'Australasian equities': 49.77, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 0.0, 'Commodities': 0.0}","{'Cash and cash equivalents': 500.0, 'New Zealand fixed interest': 0.0, 'International fixed interest': 0.0, 'Australasian equities': 8500.0, 'International equities': 0.0, 'Listed Properties': 1000.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2021-09-30,AMP BALANCED FUND NO. 3,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,9900.0,"{'Cash and cash equivalents': 0.3, 'New Zealand fixed interest': 7.51, 'International fixed interest': 25.72, 'Australasian equities': 11.48, 'International equities': 49.86, 'Listed Properties': 5.13, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 0.0, 'Commodities': 0.0}","{'Cash and cash equivalents': 250.0, 'New Zealand fixed interest': 750.0, 'International fixed interest': 2500.0, 'Australasian equities': 1000.0, 'International equities': 5000.0, 'Listed Properties': 500.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2021-09-30,GROWTH FUND,KIWI WEALTH LIMITED,9167.92,"{'Cash and cash equivalents': 2.06, 'New Zealand fixed interest': 4.72, 'International fixed interest': 5.2, 'Australasian equities': 0.84, 'International equities': 82.8, 'Listed Properties': 1.86, 'Unlisted Properties': None, 'Unknown': None, 'Other': 2.52, 'Commodities': None}","{'Cash and cash equivalents': 750.0, 'New Zealand fixed interest': 7.5, 'International fixed interest': None, 'Australasian equities': None, 'International equities': 8500.0, 'Listed Properties': None, 'Unlisted Properties': None, 'Other': None, 'Commodities': None}"
2021-03-31,OPTION FUND,1.17,300.0,"{'Cash and cash equivalents': 0.0, 'New Zealand fixed interest': 0.0, 'International fixed interest': 0.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 0.0, 'Commodities': 0.0}","{'Cash and cash equivalents': 100.0, 'New Zealand fixed interest': 100.0, 'International fixed interest': 100.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2020-06-30,OPTION FUND,1.17,203.92,"{'Cash and cash equivalents': 54.95, 'New Zealand fixed interest': 43.09, 'International fixed interest': 0.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 1.96, 'Commodities': 0.0}","{'Cash and cash equivalents': 100.0, 'New Zealand fixed interest': 100.0, 'International fixed interest': 100.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2020-12-31,OPTION FUND,1.17,200.9,"{'Cash and cash equivalents': 68.51, 'New Zealand fixed interest': 31.04, 'International fixed interest': 0.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': 0.45, 'Commodities': 0.0}","{'Cash and cash equivalents': 100.0, 'New Zealand fixed interest': 100.0, 'International fixed interest': 100.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
2018-06-30,OPTION FUND,1.17,200.0,"{'Cash and cash equivalents': 33.48, 'New Zealand fixed interest': 67.6, 'International fixed interest': 0.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Unknown': 0.0, 'Other': -1.08, 'Commodities': 0.0}","{'Cash and cash equivalents': 100.0, 'New Zealand fixed interest': 100.0, 'International fixed interest': 100.0, 'Australasian equities': 0.0, 'International equities': 0.0, 'Listed Properties': 0.0, 'Unlisted Properties': 0.0, 'Other': 0.0, 'Commodities': 0.0}"
