Holding Type,Count
AUSTRALASIAN_EQUITIES (NZ),9575
CASH_AND_EQUIVALENTS (NZ),9295
NZ_FIXED_INTEREST (NZ),8893
INTERNATIONAL_EQUITIES (US),6675
AUSTRALASIAN_EQUITIES (AU),2714
FUND (AU),1410
LISTED_PROPERTY (NZ),1319
INT_FIXED_INTEREST (AU),1128
INTERNATIONAL_EQUITIES (AU),1115
NULL (NULL),1075
INT_FIXED_INTEREST (US),920
CASH_AND_EQUIVALENTS (US),687
LISTED_PROPERTY (AU),576
INTERNATIONAL_EQUITIES (NZ),558
UNLISTED_PROPERTY (NZ),427
FUND (NZ),414
OTHER (AU),335
INT_FIXED_INTEREST (NZ),283
INTERNATIONAL_EQUITIES (CH),276
INT_FIXED_INTEREST (JP),262
CASH_AND_EQUIVALENTS (GB),244
LISTED_PROPERTY (US),232
OTHER (NZ),227
INT_FIXED_INTEREST (IE),204
CASH_AND_EQUIVALENTS (AU),203
INT_FIXED_INTEREST (DE),149
INTERNATIONAL_EQUITIES (GB),142
INTERNATIONAL_EQUITIES (KY),131
OTHER (KY),119
OTHER (LU),102
FUND (GB),94
FUND (US),93
INTERNATIONAL_EQUITIES (IE),90
INT_FIXED_INTEREST (NO),82
INTERNATIONAL_EQUITIES (FR),75
INTERNATIONAL_EQUITIES (CN),72
NZ_FIXED_INTEREST (AU),66
INTERNATIONAL_EQUITIES (JP),55
INT_FIXED_INTEREST (GB),52
INTERNATIONAL_EQUITIES (DE),51
COMMODITIES (US),45
FUND (DE),44
INTERNATIONAL_EQUITIES (CA),38
COMMODITIES (NZ),33
INT_FIXED_INTEREST (CN),32
OTHER (US),32
INT_FIXED_INTEREST (CA),31
CASH_AND_EQUIVALENTS (DE),31
INTERNATIONAL_EQUITIES (TW),29
INTERNATIONAL_EQUITIES (NL),25
INT_FIXED_INTEREST (IT),25
INTERNATIONAL_EQUITIES (LU),25
INT_FIXED_INTEREST (DK),25
CASH_AND_EQUIVALENTS (JP),23
AUSTRALASIAN_EQUITIES (US),23
INTERNATIONAL_EQUITIES (IN),20
INT_FIXED_INTEREST (FR),20
NZ_FIXED_INTEREST (NO),20
INTERNATIONAL_EQUITIES (KR),20
AUSTRALASIAN_EQUITIES (PG),16
INT_FIXED_INTEREST (KY),15
LISTED_PROPERTY (DE),14
INTERNATIONAL_EQUITIES (DK),14
OTHER (IE),13
INT_FIXED_INTEREST (HK),13
INT_FIXED_INTEREST (ES),13
INTERNATIONAL_EQUITIES (SE),12
INT_FIXED_INTEREST (MX),12
INTERNATIONAL_EQUITIES (HK),11
COMMODITIES (AU),11
INT_FIXED_INTEREST (SE),11
FUND (JP),11
INT_FIXED_INTEREST (PH),10
INT_FIXED_INTEREST (FI),10
AUSTRALASIAN_EQUITIES (GB),9
NZ_FIXED_INTEREST (NL),9
COMMODITIES (IE),8
LISTED_PROPERTY (HK),7
LISTED_PROPERTY (JP),7
LISTED_PROPERTY (CA),7
INTERNATIONAL_EQUITIES (GR),7
INTERNATIONAL_EQUITIES (ES),7
UNLISTED_PROPERTY (AU),6
INT_FIXED_INTEREST (SG),6
LISTED_PROPERTY (GB),6
LISTED_PROPERTY (FR),6
INT_FIXED_INTEREST (NL),5
INTERNATIONAL_EQUITIES (ZA),5
CASH_AND_EQUIVALENTS (KY),5
INTERNATIONAL_EQUITIES (BM),4
NZ_FIXED_INTEREST (US),4
CASH_AND_EQUIVALENTS (HK),4
INTERNATIONAL_EQUITIES (IT),3
INT_FIXED_INTEREST (LU),3
INTERNATIONAL_EQUITIES (SK),3
INT_FIXED_INTEREST (CH),3
FUND (IE),2
INTERNATIONAL_EQUITIES (SG),2
OTHER (CA),2
FUND (JE),2
INTERNATIONAL_EQUITIES (KW),2
INTERNATIONAL_EQUITIES (SX),2
INT_FIXED_INTEREST (IR),2
CASH_AND_EQUIVALENTS (NO),2
INTERNATIONAL_EQUITIES (SZ),2
CASH_AND_EQUIVALENTS (FI),2
INT_FIXED_INTEREST (IL),1
NZ_FIXED_INTEREST (FI),1
INTERNATIONAL_EQUITIES (AR),1
AUSTRALASIAN_EQUITIES (NL),1
INT_FIXED_INTEREST (ID),1
INT_FIXED_INTEREST (MY),1
INTERNATIONAL_EQUITIES (MX),1
CASH_AND_EQUIVALENTS (CN),1
INT_FIXED_INTEREST (SA),1
INT_FIXED_INTEREST (ZA),1
INT_FIXED_INTEREST (BR),1
CASH_AND_EQUIVALENTS (FR),1
LISTED_PROPERTY (LU),1
INTERNATIONAL_EQUITIES (ID),1
CASH_AND_EQUIVALENTS (LU),1
INTERNATIONAL_EQUITIES (BR),1
CASH_AND_EQUIVALENTS (SE),1
AUSTRALASIAN_EQUITIES (UA),1
LISTED_PROPERTY (NL),1
CASH_AND_EQUIVALENTS (NL),1
INTERNATIONAL_EQUITIES (PT),1
INTERNATIONAL_EQUITIES (FI),1
INTERNATIONAL_EQUITIES (IL),1
AUSTRALASIAN_EQUITIES (CH),1
INTERNATIONAL_EQUITIES (DM),1
INT_FIXED_INTEREST (GR),1
