Holding Name,Appearances,% of All Holdings,Total Weight %
NULL,1075,2.09,0
SPARK NEW ZEALAND LTD,623,1.21,1935.0
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,455,0.89,1149.2
CONTACT ENERGY LTD,409,0.8,1365.8
AUCKLAND INTERNATIONAL AIRPORT LTD,344,0.67,1148.9
MAINFREIGHT LIMITED,337,0.66,815.3
AUCKLAND INTERNATIONAL AIRPORT LIMITED,332,0.65,615.4
SPARK NEW ZEALAND LIMITED,328,0.64,776.6
FLETCHER BUILDING LTD,314,0.61,997.2
WESTPAC CURRENT ACCOUNT,314,0.61,1516.3
MICROSOFT CORP,310,0.6,674.2
FISHER & PAYKEL HEALTHCARE LTD,310,0.6,886.3
VANGUARD S&P 500 ETF,296,0.58,4966.4
APPLE INC,294,0.57,593.3
VANGUARD FTSE EUROPE ETF,293,0.57,4733.2
ANZ NZD CURRENT ACCOUNT,284,0.55,741.2
MAINFREIGHT LTD,276,0.54,878.1
VANGUARD FTSE PACIFIC ETF,275,0.54,3728.0
MICROSOFT CORPORATION,270,0.53,511.4
ANZ 10 A/C - CURRENT ACCOUNTS,266,0.52,1803.9
INFRATIL LIMITED,256,0.5,619.7
VANGUARD MID-CAP ETF,254,0.49,3253.6
THE A2 MILK COMPANY LIMITED,249,0.49,691.6
A2 MILK CO LTD,248,0.48,681.7
VANGUARD FTSE EMERGING MARKETS ETF,246,0.48,3864.1
VISA INC,243,0.47,280.1
CASH DEPOSIT (J.P. MORGAN USD),238,0.46,308.5
VANGUARD SMALL-CAP ETF,236,0.46,3069.6
MERIDIAN ENERGY LIMITED,234,0.46,545.1
VANGUARD VALUE ETF,227,0.44,3134.6
MERIDIAN ENERGY LTD,226,0.44,914.2
ORBIS GLOBAL EQUITY LE FUND,226,0.44,921.5
AMAZON.COM INC,221,0.43,389.2
INFRATIL,210,0.41,994.6
CONTACT ENERGY LIMITED,202,0.39,515.9
A2 MILK COMPANY LTD,198,0.39,607.3
INFRATIL LTD,193,0.38,702.6
CALL ACCOUNT (RABOBANK ADVANCE ACCOUNT NZD),191,0.37,520.0
RYMAN HEALTHCARE LTD,189,0.37,706.3
VANGUARD TOTAL WORLD STOCK ETF,186,0.36,4281.3
WESTPAC BUSINESS INTEREST ACCOUNT,184,0.36,225.4
NZ CASH (BNZ BANK TRUST ACCOUNT),184,0.36,787.2
CASH DEPOSIT (ANZ BANK),182,0.35,530.7
CALL ACCOUNT (WESTPAC BANKING CORPORATION ADVANCE ACCT),182,0.35,1312.2
FISHER & PAYKEL HEALTHCARE CORPORATION LTD,181,0.35,461.2
FISHER AND PAYKEL HEALTHCARE,177,0.34,371.3
RUSSELL INVESTMENTS NZ SHARES FUND,177,0.34,2893.4
KIWI PROPERTY GROUP LTD,176,0.34,832.3
RUSSELL INVESTMENTS NZ FIXED INTEREST FUND,176,0.34,1720.7
VANGUARD INTERNATIONAL PROPERTY SECURITIES INDEX FUND HEDGED,174,0.34,1361.2
