Period,Provider,Funds,Avg Fee %,Min Fee %,Max Fee %
2015-09-30,0.32,1,0.38,0.38,0.38
2015-09-30,0.59,1,0.68,0.68,0.68
2015-09-30,0.72,1,0.81,0.81,0.81
2015-09-30,0.77,1,0.87,0.87,0.87
2015-09-30,0.82,1,0.91,0.91,0.91
2015-12-31,0.32,2,0.465,0.38,0.55
2015-12-31,0.59,2,0.75,0.68,0.82
2015-12-31,0.72,1,0.81,0.81,0.81
2015-12-31,0.77,2,0.935,0.87,1.0
2015-12-31,0.82,2,0.98,0.91,1.05
2015-12-31,0.68,1,0.91,0.91,0.91
2016-03-31,0.32,2,0.465,0.38,0.55
2016-03-31,0.59,2,0.75,0.68,0.82
2016-03-31,0.72,1,0.81,0.81,0.81
2016-03-31,0.77,2,0.935,0.87,1.0
2016-03-31,0.82,2,0.98,0.91,1.05
2016-03-31,0.68,1,0.91,0.91,0.91
2016-06-30,0.35,1,0.4,0.4,0.4
2016-06-30,0.68,3,0.823,0.77,0.91
2016-06-30,0.85,1,0.99,0.99,0.99
2016-06-30,1.03,1,1.28,1.28,1.28
2016-06-30,0.32,2,0.465,0.38,0.55
2016-06-30,0.59,2,0.745,0.67,0.82
2016-06-30,0.77,2,0.935,0.87,1.0
2016-06-30,0.82,2,0.985,0.92,1.05
2016-06-30,0.65,1,0.89,0.89,0.89
2016-09-30,0.35,2,0.385,0.37,0.4
2016-09-30,0.68,3,0.823,0.77,0.91
2016-09-30,0.85,2,0.945,0.9,0.99
2016-09-30,1.03,6,1.227,1.2,1.28
2016-09-30,0.67,3,0.97,0.67,1.15
2016-09-30,0.87,1,1.34,1.34,1.34
2016-09-30,0.95,1,1.0,1.0,1.0
2016-09-30,0.77,4,0.935,0.87,1.0
2016-09-30,0.94,1,1.09,1.09,1.09
2016-09-30,1.09,3,1.217,1.12,1.29
2016-09-30,1.17,1,1.29,1.29,1.29
2016-09-30,0.84,1,0.84,0.84,0.84
2016-09-30,0.32,2,0.465,0.38,0.55
2016-09-30,0.59,2,0.745,0.67,0.82
2016-09-30,0.82,2,0.985,0.92,1.05
2016-09-30,1.02,1,1.09,1.09,1.09
2016-09-30,1.07,1,1.28,1.28,1.28
2016-09-30,1.05,1,1.29,1.29,1.29
2016-09-30,0.65,6,1.465,0.89,1.58
2016-12-31,0.35,23,0.571,0.37,0.74
2016-12-31,0.68,4,0.802,0.74,0.91
2016-12-31,0.85,11,1.04,0.9,1.41
2016-12-31,1.03,7,1.201,1.16,1.28
2016-12-31,0.95,6,1.073,1.0,1.18
2016-12-31,0.67,5,0.874,0.67,1.15
2016-12-31,0.87,2,1.13,0.92,1.34
2016-12-31,0.77,4,0.935,0.87,1.0
2016-12-31,0.94,1,1.09,1.09,1.09
2016-12-31,1.09,3,1.217,1.12,1.29
2016-12-31,1.17,2,1.315,1.29,1.34
2016-12-31,1.05,2,1.265,1.24,1.29
2016-12-31,0.82,3,0.983,0.92,1.05
2016-12-31,0.84,1,0.84,0.84,0.84
2016-12-31,0.65,10,1.213,0.71,1.58
2016-12-31,0.32,2,0.465,0.38,0.55
2016-12-31,0.59,3,0.713,0.65,0.82
2016-12-31,1.02,1,1.09,1.09,1.09
2016-12-31,1.07,1,1.28,1.28,1.28
2016-12-31,0.72,1,0.78,0.78,0.78
2017-12-31,0.85,10,1.041,0.9,1.42
2017-12-31,0.95,7,1.167,1.0,1.45
2017-12-31,0.84,2,1.145,0.98,1.31
2017-12-31,1.02,9,1.199,1.08,1.25
2017-12-31,0.32,2,0.47,0.37,0.57
2017-12-31,0.67,1,0.79,0.79,0.79
2017-12-31,1.09,4,1.258,1.22,1.29
2017-12-31,0.87,3,1.057,1.05,1.06
2017-12-31,0.94,3,1.207,1.11,1.39
2017-12-31,0.35,2,0.4,0.38,0.42
2017-12-31,0.77,3,1.083,0.9,1.28
2017-12-31,1.17,1,1.3,1.3,1.3
2017-12-31,0.72,1,0.85,0.85,0.85
2017-12-31,1.03,6,1.275,1.17,1.47
2017-12-31,1.07,2,1.355,1.18,1.53
2017-12-31,0.59,2,0.885,0.78,0.99
2017-12-31,0.68,3,0.933,0.73,1.14
2017-12-31,0.82,2,1.205,1.1,1.31
2017-12-31,0.65,7,1.423,0.84,1.58
2017-12-31,1.05,1,1.1,1.1,1.1
2018-03-31,0.85,11,1.027,0.89,1.42
2018-03-31,0.95,7,1.169,1.0,1.45
2018-03-31,0.84,1,0.98,0.98,0.98
2018-03-31,1.02,7,1.243,1.15,1.4
2018-03-31,0.32,2,0.47,0.37,0.57
2018-03-31,0.67,1,0.79,0.79,0.79
2018-03-31,1.07,3,1.303,1.18,1.53
2018-03-31,0.35,36,0.569,0.38,1.01
2018-03-31,0.77,3,1.083,0.9,1.28
2018-03-31,0.94,2,1.25,1.11,1.39
2018-03-31,1.09,2,1.245,1.22,1.27
2018-03-31,1.03,10,1.281,1.13,1.6
2018-03-31,1.17,1,1.3,1.3,1.3
2018-03-31,0.72,1,0.85,0.85,0.85
2018-03-31,0.87,3,1.023,0.95,1.06
2018-03-31,0.59,2,0.885,0.78,0.99
2018-03-31,0.68,2,1.035,0.93,1.14
2018-03-31,0.82,3,1.09,0.86,1.31
2018-03-31,0.65,10,1.207,0.65,1.58
2018-03-31,1.05,1,1.1,1.1,1.1
2018-06-30,0.84,2,0.97,0.97,0.97
2018-06-30,0.95,8,1.153,0.98,1.47
2018-06-30,0.87,4,1.03,0.95,1.08
2018-06-30,1.09,4,1.242,1.22,1.27
2018-06-30,1.03,7,1.274,1.13,1.6
2018-06-30,0.32,2,0.465,0.36,0.57
2018-06-30,0.67,1,0.85,0.85,0.85
2018-06-30,0.94,2,1.105,1.1,1.11
2018-06-30,1.05,1,1.21,1.21,1.21
2018-06-30,0.35,36,0.569,0.38,1.01
2018-06-30,0.77,3,1.057,0.9,1.24
2018-06-30,1.17,5,1.384,1.17,1.97
2018-06-30,0.72,3,0.89,0.87,0.93
2018-06-30,1.02,9,1.302,1.2,1.54
2018-06-30,1.07,3,1.467,1.2,1.78
2018-06-30,0.59,2,0.895,0.79,1.0
2018-06-30,0.68,2,1.025,0.92,1.13
2018-06-30,0.82,4,1.052,0.86,1.28
2018-06-30,0.85,10,1.013,0.88,1.41
2018-06-30,0.65,6,0.962,0.65,1.59
2018-09-30,0.84,2,0.97,0.97,0.97
2018-09-30,0.95,7,1.177,0.99,1.47
2018-09-30,0.32,3,0.417,0.32,0.57
2018-09-30,0.87,4,1.03,0.95,1.08
2018-09-30,1.09,4,1.242,1.22,1.27
2018-09-30,1.03,7,1.274,1.13,1.6
2018-09-30,0.67,1,0.85,0.85,0.85
2018-09-30,0.94,2,1.105,1.1,1.11
2018-09-30,1.05,1,1.21,1.21,1.21
2018-09-30,0.35,36,0.569,0.38,1.01
2018-09-30,0.77,3,1.057,0.9,1.24
2018-09-30,1.17,5,1.384,1.17,1.97
2018-09-30,0.72,3,0.89,0.87,0.93
2018-09-30,1.02,9,1.302,1.2,1.54
2018-09-30,1.07,3,1.467,1.2,1.78
2018-09-30,0.59,2,0.895,0.79,1.0
2018-09-30,0.68,2,1.025,0.92,1.13
2018-09-30,0.82,4,1.052,0.86,1.28
2018-09-30,0.85,8,1.045,0.89,1.41
2018-09-30,0.65,6,0.962,0.65,1.59
2018-12-31,0.84,2,0.97,0.97,0.97
2018-12-31,0.95,7,1.177,0.99,1.47
2018-12-31,0.35,37,0.563,0.35,1.01
2018-12-31,0.87,4,1.03,0.95,1.08
2018-12-31,1.09,4,1.242,1.22,1.27
2018-12-31,1.03,7,1.274,1.13,1.6
2018-12-31,0.32,2,0.465,0.36,0.57
2018-12-31,0.67,1,0.85,0.85,0.85
2018-12-31,0.94,2,1.105,1.1,1.11
2018-12-31,1.05,1,1.21,1.21,1.21
2018-12-31,0.77,3,1.057,0.9,1.24
2018-12-31,1.17,5,1.384,1.17,1.97
2018-12-31,0.72,3,0.89,0.87,0.93
2018-12-31,1.02,9,1.302,1.2,1.54
2018-12-31,1.07,3,1.467,1.2,1.78
2018-12-31,0.59,2,0.895,0.79,1.0
2018-12-31,0.68,2,1.025,0.92,1.13
2018-12-31,0.82,4,1.052,0.86,1.28
2018-12-31,0.85,8,1.045,0.89,1.41
2018-12-31,0.65,6,0.962,0.65,1.59
2019-03-31,0.84,2,0.97,0.97,0.97
2019-03-31,0.95,7,1.177,0.99,1.47
2019-03-31,0.32,3,0.417,0.32,0.57
2019-03-31,0.87,3,1.057,1.01,1.08
2019-03-31,1.09,2,1.24,1.24,1.24
2019-03-31,1.03,5,1.206,1.06,1.34
2019-03-31,0.67,1,0.85,0.85,0.85
2019-03-31,0.94,1,1.1,1.1,1.1
2019-03-31,1.05,2,1.145,1.08,1.21
2019-03-31,0.35,1,0.42,0.42,0.42
2019-03-31,0.82,5,0.998,0.82,1.28
2019-03-31,1.17,8,1.34,1.17,1.97
2019-03-31,0.72,4,0.902,0.87,0.94
2019-03-31,1.02,10,1.279,1.18,1.54
2019-03-31,1.07,3,1.467,1.2,1.78
2019-03-31,0.59,2,0.895,0.79,1.0
2019-03-31,0.68,2,1.025,0.92,1.13
2019-03-31,0.77,3,1.013,0.77,1.24
2019-03-31,0.85,8,1.045,0.89,1.41
2019-03-31,0.65,6,1.0,0.78,1.59
2019-06-30,0.85,7,0.91,0.89,0.95
2019-06-30,0.95,6,1.163,0.99,1.41
2019-06-30,0.35,2,0.345,0.34,0.35
2019-06-30,0.32,3,0.42,0.32,0.57
2019-06-30,0.84,1,0.93,0.93,0.93
2019-06-30,0.87,3,0.963,0.96,0.97
2019-06-30,1.09,3,1.21,1.21,1.21
2019-06-30,1.02,12,1.117,0.88,1.29
2019-06-30,1.03,5,1.088,1.05,1.15
2019-06-30,0.82,5,0.934,0.82,1.14
2019-06-30,1.17,8,1.259,1.17,1.36
2019-06-30,1.07,3,1.303,1.18,1.37
2019-06-30,0.59,2,0.795,0.69,0.9
2019-06-30,0.68,2,0.895,0.79,1.0
2019-06-30,0.77,3,0.913,0.77,1.09
2019-06-30,0.65,4,0.795,0.77,0.84
2019-06-30,0.67,1,0.67,0.67,0.67
2019-06-30,1.05,1,1.08,1.08,1.08
2019-06-30,0.72,3,0.897,0.82,0.94
2019-06-30,0.94,1,1.35,1.35,1.35
2019-12-31,0.85,7,0.91,0.89,0.95
2019-12-31,0.95,6,1.163,0.99,1.41
2019-12-31,0.32,3,0.42,0.32,0.57
2019-12-31,0.84,1,0.93,0.93,0.93
2019-12-31,0.87,3,0.963,0.96,0.97
2019-12-31,1.09,3,1.21,1.21,1.21
2019-12-31,1.02,12,1.117,0.88,1.29
2019-12-31,1.03,5,1.088,1.05,1.15
2019-12-31,0.35,1,0.34,0.34,0.34
2019-12-31,0.82,5,0.934,0.82,1.14
2019-12-31,1.17,8,1.259,1.17,1.36
2019-12-31,1.07,3,1.303,1.18,1.37
2019-12-31,0.59,2,0.795,0.69,0.9
2019-12-31,0.68,2,0.895,0.79,1.0
2019-12-31,0.77,3,0.913,0.77,1.09
2019-12-31,0.65,4,0.795,0.77,0.84
2019-12-31,0.67,1,0.67,0.67,0.67
2019-12-31,1.05,1,1.08,1.08,1.08
2019-12-31,0.72,3,0.897,0.82,0.94
2019-12-31,0.94,1,1.35,1.35,1.35
2020-03-31,0.85,7,0.91,0.89,0.95
2020-03-31,0.95,6,1.162,0.99,1.41
2020-03-31,0.35,2,0.345,0.34,0.35
2020-03-31,0.84,1,0.93,0.93,0.93
2020-03-31,0.87,3,0.963,0.96,0.97
2020-03-31,1.09,4,1.42,1.21,2.05
2020-03-31,1.02,11,1.096,0.88,1.2
2020-03-31,0.32,2,0.47,0.37,0.57
2020-03-31,1.03,4,1.232,1.05,1.68
2020-03-31,1.07,5,1.232,1.12,1.37
2020-03-31,0.82,5,0.934,0.82,1.14
2020-03-31,1.17,8,1.252,1.17,1.36
2020-03-31,0.59,2,0.795,0.69,0.9
2020-03-31,0.68,2,0.895,0.79,1.0
2020-03-31,1.05,1,1.82,1.82,1.82
2020-03-31,0.77,2,0.985,0.88,1.09
2020-03-31,0.65,3,0.797,0.77,0.84
2020-03-31,0.67,1,0.67,0.67,0.67
2020-03-31,0.72,3,0.897,0.82,0.94
2020-03-31,0.94,1,1.35,1.35,1.35
2020-06-30,0.35,3,0.363,0.35,0.39
2020-06-30,0.84,1,0.92,0.92,0.92
2020-06-30,0.87,3,0.94,0.9,0.97
2020-06-30,1.09,5,1.39,1.17,2.05
2020-06-30,1.02,2,1.11,1.09,1.13
2020-06-30,0.85,4,0.913,0.9,0.93
2020-06-30,0.32,2,0.465,0.36,0.57
2020-06-30,0.65,4,0.795,0.65,0.98
2020-06-30,0.94,1,1.06,1.06,1.06
2020-06-30,1.03,8,1.222,1.14,1.68
2020-06-30,0.72,2,0.83,0.72,0.94
2020-06-30,1.07,2,1.125,1.12,1.13
2020-06-30,0.82,4,0.927,0.82,1.14
2020-06-30,1.17,6,1.232,1.17,1.3
2020-06-30,0.59,2,0.795,0.69,0.9
2020-06-30,0.68,2,0.895,0.79,1.0
2020-06-30,0.95,5,1.072,1.0,1.19
2020-06-30,1.05,1,1.82,1.82,1.82
2020-06-30,0.77,2,0.99,0.89,1.09
2020-06-30,0.67,1,0.86,0.86,0.86
2020-09-30,0.35,3,0.363,0.35,0.39
2020-09-30,0.84,1,0.92,0.92,0.92
2020-09-30,0.87,3,0.94,0.9,0.97
