Period,Fund Name,Provider,Start Date,1yr Return %,Fee %,FUM,Members
2015-09-30,MERCER CASH,0.32,39356.0,2.58,0.38,14325939.79,1249
2015-09-30,MERCER CONSERVATIVE,0.5,39356.0,4.84,0.56,929574508.97,85893
2015-09-30,MERCER MODERATE,0.59,2015-02-18,0.0,0.68,29193077.7,1559
2015-09-30,MERCER BALANCED,0.72,39356.0,5.17,0.81,221891774.32,11756
2015-09-30,MERCER GROWTH,0.77,2015-02-18,0.0,0.87,21379973.87,1209
2015-09-30,MERCER HIGH GROWTH,0.82,39356.0,5.56,0.91,85909195.6,5511
2015-09-30,MERCER SHARES,0.9,2015-02-18,0.0,0.94,8121665.25,502
2015-12-31,MERCER CASH FUND,0.32,39356.0,2.43,0.38,14233345.9,1222
2015-12-31,MERCER CONSERVATIVE FUND,0.5,39356.0,4.42,0.56,947793205.56,85124
2015-12-31,MERCER BALANCED FUND,0.72,39356.0,5.82,0.81,231523831.42,11666
2015-12-31,MERCER HIGH GROWTH FUND,0.82,39356.0,7.62,0.91,92531455.49,5541
2021-09-30,FIRST MORTGAGE PIE TRUST,FIRST MORTGAGE MANAGERS LIMITED,2008-01-01,3.19,1.66,451201610.6,
2021-09-30,AMP CAPITAL ETHICAL LEADERS CONSERVATIVE FUND,AMP INVESTMENT MANAGEMENT (N.Z.) LIMITED,1995-06-06,4.62,1.25,7504377.09,
2021-09-30,AMP CAPITAL ETHICAL LEADERS BALANCED FUND,AMP INVESTMENT MANAGEMENT (N.Z.) LIMITED,2009-08-11,15.49,1.32,47168311.69,
2021-09-30,AMP CAPITAL ETHICAL LEADERS GROWTH FUND,AMP INVESTMENT MANAGEMENT (N.Z.) LIMITED,1995-06-06,23.19,1.46,12348410.62,
2021-09-30,LIFESAVER PRESERVATION FUND,FISHER FUNDS MANAGEMENT LIMITED,2006-07-01,0.05,0.51,35574885.89,568
2021-09-30,CONSERVATIVE FUND,KIWI WEALTH LIMITED,2018-07-31,0.56,0.7,42407933.0,
2021-09-30,BALANCED FUND,KIWI WEALTH LIMITED,2018-07-31,11.78,0.83,152181030.0,
2021-09-30,GROWTH FUND,KIWI WEALTH LIMITED,2018-07-31,20.88,0.95,127634391.0,
2021-09-30,SHIELDED GROWTH FUND,BOOSTER INVESTMENT MANAGEMENT LIMITED,2018-05-31,15.23,2.99,10694626.62,11
2021-09-30,ENHANCED CASH FUND,BT FUNDS MANAGEMENT (NZ) LIMITED,1997-06-01,0.18,0.43,7848538.82,
2021-09-30,SHIELDED GROWTH PORTFOLIO,BOOSTER INVESTMENT MANAGEMENT LIMITED,2018-05-31,16.15,1.65,2122014.47,31
2021-09-30,CORPORATE BOND FUND,BT FUNDS MANAGEMENT (NZ) LIMITED,2008-06-10,-2.06,0.6,44181190.56,
2021-09-30,INTERNATIONAL DIVERSIFIED BOND FUND,BT FUNDS MANAGEMENT (NZ) LIMITED,2001-10-01,0.79,0.69,67062163.29,
2021-09-30,AUSTRALASIAN DIVERSIFIED SHARE FUND,BT FUNDS MANAGEMENT (NZ) LIMITED,2011-07-08,15.67,1.14,30201402.89,
2021-09-30,INTERNATIONAL DIVERSIFIED SHARE FUND,BT FUNDS MANAGEMENT (NZ) LIMITED,2008-06-10,21.47,1.48,56046296.5,
2021-09-30,ANTIPODES GLOBAL FUND (PIE),IMPLEMENTED INVESTMENT SOLUTIONS LIMITED,2018-07-25,15.89,1.19,28867649.0,
2021-09-30,PROPERTY FUND,BT FUNDS MANAGEMENT (NZ) LIMITED,1997-06-01,17.34,1.03,24511476.81,
2021-09-30,LIFESAVER CONSERVATIVE FUND,FISHER FUNDS MANAGEMENT LIMITED,2006-10-01,4.57,0.89,38460197.11,525
2021-09-30,LIFESAVER NEW ZEALAND FIXED INCOME FUND,FISHER FUNDS MANAGEMENT LIMITED,1991-09-01,-4.08,0.66,9818419.49,208
2021-09-30,LIFESAVER BALANCED FUND,FISHER FUNDS MANAGEMENT LIMITED,2006-07-01,12.21,0.99,331241786.8,2600
2021-09-30,LIFESAVER GROWTH FUND,FISHER FUNDS MANAGEMENT LIMITED,2006-10-01,18.57,1.09,128456149.4,1467
2021-09-30,LIFESAVER TRANS TASMAN EQUITY FUND,FISHER FUNDS MANAGEMENT LIMITED,1992-03-01,27.65,0.92,40178368.01,457
2021-09-30,LIFESAVER EQUITY FUND,FISHER FUNDS MANAGEMENT LIMITED,2006-07-01,25.02,1.13,70740054.2,811
2021-09-30,ANTIPODES GLOBAL FUND LONG (PIE),IMPLEMENTED INVESTMENT SOLUTIONS LIMITED,2018-07-25,20.37,1.21,1943044.0,
2021-09-30,FISHER FUNDS CASHPLUS FUND,FISHER FUNDS MANAGEMENT LIMITED,2008-04-30,-0.15,0.78,30893156.81,149
2021-09-30,FISHER FUNDS NEW ZEALAND FIXED INCOME TRUST,FISHER FUNDS MANAGEMENT LIMITED,2011-07-20,-4.26,1.0,145995563.8,30
