quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2017-12-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,18750716.32,2670,2013-04-16,20.29,,1.66,,,,,,,,,,,,9.31,9.85,,12.31,54.84,13.69,,,,1.75,7.5,,16.25,54.25,18.25,,,
2017-12-31,FND1002,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,GENERATE KIWISAVER SCHEME,1.00,18784135.55,976,2013-04-16,16.24,,1.54,,,,,,,,,,,,8.31,27.5,,12.23,38.38,13.58,,,,2.73,24.0,,17.65,37.97,17.65,,,
2017-12-31,FND1003,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,GENERATE KIWISAVER SCHEME,1.00,20426872.65,941,2013-04-16,12.19,,1.42,,,,,,,,,,,,7.3,45.15,,12.15,21.93,13.46,,,,3.7,40.5,,17.05,21.7,17.05,,,
2017-12-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,7150035.01,291,2013-04-16,9.02,,1.32,,,,,,,,,,,,6.13,58.89,,12.38,8.8,13.79,,,,4.5,53.0,,17.0,8.5,17.0,,,
2017-12-31,FND1005,STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,GENERATE KIWISAVER SCHEME,1.00,3250980.03,154,2013-04-16,7.91,,1.29,,,,,,,,,,,,6.05,63.79,,12.21,4.4,13.55,,,,4.75,57.75,,16.63,4.25,16.63,,,
2017-12-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,595167447.0,69487,2009-06-01,5.41,,0.99,,,,,,,,,,,,23.53,33.33,24.61,5.85,9.55,0.64,2.49,0.0,0.0,23.0,22.0,33.0,6.0,9.0,3.5,3.5,0.0,0.0
2017-12-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1503245266.0,106666,2007-10-01,14.95,,1.45,,,,,,,,,,,,11.34,6.7,6.52,27.9,43.7,0.79,3.05,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2017-12-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,515415753.0,35898,2009-06-01,10.57,,1.25,,,,,,,,,,,,16.83,18.68,14.66,17.98,28.33,0.72,2.8,0.0,0.0,13.0,13.0,20.0,19.0,27.0,4.0,4.0,0.0,0.0
2017-12-31,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,27018715.58,1850,2007-10-01,1.8,,0.66,,,,,,,,,,,,46.63,53.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.56,732467866.5,60802,2007-10-01,5.08,,0.56,,,,,,,,,,,,21.08,38.33,22.9,5.11,7.45,0.0,5.13,0.0,0.0,31.0,19.0,29.0,6.0,8.0,0.0,7.0,0.0,0.0
2017-12-31,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,129823951.13,6982,2007-10-01,5.68,,0.98,,,,,,,,,,,,20.81,34.9,18.84,7.13,11.08,0.0,7.24,0.0,0.0,28.0,17.0,25.0,8.0,12.0,0.0,10.0,0.0,0.0
2017-12-31,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.88,654039066.11,28941,2007-10-01,9.84,,1.05,,,,,,,,,,,,17.35,19.94,10.8,17.91,26.55,0.0,7.45,0.0,0.0,17.0,10.0,16.0,19.0,28.0,0.0,10.0,0.0,0.0
