source,period,fund_name,scheme,fum,members,start_date,risk_indicator,return_1yr,return_5yr_avg,fee
anz,2024-06-30,BALANCED GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,275158745.0,4666,2007-10-01,5,4.93,4.27,0.96
anz,2024-06-30,BALANCED FUND,ANZ DEFAULT KIWISAVER SCHEME,256825521.0,4356,2007-10-01,4,4.52,3.38,0.91
anz,2024-06-30,CASH FUND,ANZ DEFAULT KIWISAVER SCHEME,30281673.0,774,2007-11-15,2,4.24,1.87,0.22
anz,2024-06-30,CONSERVATIVE BALANCED FUND,ANZ DEFAULT KIWISAVER SCHEME,102437315.0,2057,2007-10-01,4,4.25,2.58,0.75
anz,2024-06-30,CONSERVATIVE FUND,ANZ DEFAULT KIWISAVER SCHEME,657706850.0,17196,2007-10-01,4,5.49,2.37,0.43
anz,2024-06-30,GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,269360307.0,5826,2007-10-01,5,5.3,5.1,1.01
anz,2024-06-30,HIGH GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,17875922.0,400,2023-08-04,5,,,1.03
anz,2025-06-30,BALANCED GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,284439563.0,4239,2007-10-01,4,7.83,5.37,0.92
anz,2025-06-30,BALANCED FUND,ANZ DEFAULT KIWISAVER SCHEME,267577161.0,4001,2007-10-01,4,7.01,4.2,0.88
anz,2025-06-30,CASH FUND,ANZ DEFAULT KIWISAVER SCHEME,39211497.0,834,2007-11-15,2,3.45,2.32,0.22
anz,2025-06-30,CONSERVATIVE BALANCED FUND,ANZ DEFAULT KIWISAVER SCHEME,107260847.0,1887,2007-10-01,4,5.87,3.1,0.73
anz,2025-06-30,CONSERVATIVE FUND,ANZ DEFAULT KIWISAVER SCHEME,656535223.0,15493,2007-10-01,3,5.13,2.65,0.42
anz,2025-06-30,GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,282593825.0,5249,2007-10-01,5,8.74,6.58,0.96
anz,2025-06-30,HIGH GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,37460825.0,737,2023-08-04,5,9.77,,0.95
anz,2024-09-30,BALANCED GROWTH FUND,ANZ DEFAULT KIWISAVER SCHEME,286776044.0,4564,2007-10-01,5,12.58,4.37,0.96
anz,2024-09-30,BALANCED FUND,ANZ DEFAULT KIWISAVER SCHEME,268587711.0,4284,2007-10-01,4,11.3,3.51,0.91
anz,2024-09-30,CASH FUND,ANZ DEFAULT KIWISAVER SCHEME,33593949.0,777,2007-11-15,2,4.28,2.01,0.22
