provider,fund_name,fund_type,fee_pct,return_1yr,return_5yr
AE KIWISAVER PLAN,AE KIWISAVER PLAN,Conservative,3.44,22.03,7.42
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,AGGRESSIVE FUND,Growth,0.5,11.72,7.51
FISHER FUNDS KIWISAVER PLAN,AGGRESSIVE FUND,Growth,1.23,1.65,
ASB KIWISAVER SCHEME,AGGRESSIVE FUND,Aggressive,0.75,12.64,
MAS KIWISAVER SCHEME,AGGRESSIVE FUND,Aggressive,0.97,12.18,6.08
AMP KIWISAVER SCHEME,AMP AGGRESSIVE FUND,Aggressive,0.85,13.26,6.7
AMP KIWISAVER SCHEME,AMP AGGRESSIVE FUND (LIFESTEPS),Aggressive,0.85,13.26,6.7
AMP KIWISAVER SCHEME,AMP AUSTRALASIAN SHARES FUND,Aggressive,0.83,4.81,1.33
AMP KIWISAVER SCHEME,AMP BALANCED FUND,Balanced,0.85,8.96,4.55
AMP KIWISAVER SCHEME,AMP BALANCED FUND (LIFESTEPS),Balanced,0.85,8.96,4.55
AMP KIWISAVER SCHEME,AMP BALANCED FUND NO. 2,Balanced,0.85,9.0,4.54
AMP KIWISAVER SCHEME,AMP CASH FUND,Defensive,0.65,1.84,2.17
AMP KIWISAVER SCHEME,AMP CONSERVATIVE FUND,Conservative,0.84,4.55,2.28
AMP KIWISAVER SCHEME,AMP CONSERVATIVE FUND (LIFESTEPS),Conservative,0.84,4.55,2.28
AMP KIWISAVER SCHEME,AMP DEFENSIVE CONSERVATIVE FUND,Conservative,0.49,4.14,2.12
AMP KIWISAVER SCHEME,AMP GLOBAL FIXED INTEREST FUND,Defensive,0.84,0.69,-0.54
AMP KIWISAVER SCHEME,AMP GROWTH FUND,Growth,0.85,11.31,5.9
AMP KIWISAVER SCHEME,AMP GROWTH FUND (LIFESTEPS),Growth,0.85,11.31,5.9
AMP KIWISAVER SCHEME,AMP INTERNATIONAL SHARES FUND,Aggressive,0.85,14.95,9.88
AMP KIWISAVER SCHEME,AMP MODERATE BALANCED FUND,Balanced,0.84,7.87,3.78
AMP KIWISAVER SCHEME,AMP MODERATE BALANCED FUND (LIFESTEPS),Balanced,0.84,7.87,3.78
AMP KIWISAVER SCHEME,AMP MODERATE FUND,Balanced,0.84,6.69,3.11
AMP KIWISAVER SCHEME,AMP MODERATE FUND (LIFESTEPS),Balanced,0.84,6.69,3.11
AMP KIWISAVER SCHEME,AMP NZ FIXED INTEREST FUND,Defensive,0.86,2.22,-0.19
SUPERLIFE KIWISAVER SCHEME,ASIA PACIFIC FUND,Aggressive,0.69,33.27,8.69
BOOSTER KIWISAVER SCHEME,ASSET CLASS BALANCED FUND,Balanced,1.32,8.23,3.84
BOOSTER KIWISAVER SCHEME,ASSET CLASS CONSERVATIVE FUND,Conservative,1.24,4.73,1.72
BOOSTER KIWISAVER SCHEME,ASSET CLASS GROWTH FUND,Growth,1.37,12.15,6.36
AURORA KIWISAVER SCHEME,AURORA BALANCED STRATEGY,Balanced,1.51,5.53,
AURORA KIWISAVER SCHEME,AURORA CONSERVATIVE FUND,Conservative,1.37,3.57,
AURORA KIWISAVER SCHEME,AURORA FIRST HOME BUYER STRATEGY,Conservative,1.16,3.2,
AURORA KIWISAVER SCHEME,AURORA GROWTH FUND,Growth,1.61,6.83,
AURORA KIWISAVER SCHEME,AURORA LIQUIDITY FUND,Defensive,0.52,2.09,
AURORA KIWISAVER SCHEME,AURORA RETIREMENTPLUS AGE 50,Growth,1.61,6.83,
AURORA KIWISAVER SCHEME,AURORA RETIREMENTPLUS AGE 65,Balanced,1.5,5.2,
AURORA KIWISAVER SCHEME,AURORA RETIREMENTPLUS AGE 75,Conservative,1.41,4.06,
GENERATE KIWISAVER SCHEME,AUSTRALASIAN FUND,Aggressive,1.31,,
ONEANSWER KIWISAVER SCHEME,AUSTRALASIAN PROPERTY FUND,Aggressive,1.01,2.0,-4.15
ONEANSWER KIWISAVER SCHEME,AUSTRALASIAN SHARE FUND,Aggressive,0.99,2.69,0.07
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN DIVIDEND FUND,Aggressive,0.69,27.34,10.02
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN FINANCIALS FUND,Aggressive,0.69,25.08,14.01
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN MID CAP FUND,Aggressive,0.69,18.73,8.84
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN PROPERTY FUND,Aggressive,0.69,8.64,2.66
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN RESOURCES FUND,Aggressive,0.69,59.02,12.74
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN SHARES FUND,Aggressive,0.69,15.12,8.56
SUPERLIFE KIWISAVER SCHEME,AUSTRALIAN TOP 20 FUND,Aggressive,0.69,25.2,10.12
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,AUTOMATIC FUND (AGE 20),Aggressive,0.5,12.19,7.98
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,AUTOMATIC FUND (AGE 40),Growth,0.5,9.37,5.36
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,AUTOMATIC FUND (AGE 60),Balanced,0.5,6.82,3.02
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,AUTOMATIC FUND (AGE 80),Conservative,0.5,4.4,1.98
FISHER FUNDS KIWISAVER PLAN,BALANCED FUND,Balanced,1.04,2.9,3.58
CHRISTIAN KIWISAVER SCHEME,BALANCED FUND,Balanced,1.35,5.63,4.84
SUPEREASY KIWISAVER SUPERANNUATION SCHEME,BALANCED FUND,Balanced,0.5,7.31,3.96
WESTPAC KIWISAVER SCHEME,BALANCED FUND,Balanced,0.5,8.66,4.03
FISHER FUNDS TWO KIWISAVER SCHEME,BALANCED FUND,Balanced,0.95,2.29,2.94
JMI WEALTH KIWISAVER SCHEME,BALANCED FUND,Balanced,1.35,7.11,3.83
GENERATE KIWISAVER SCHEME,BALANCED FUND,Balanced,1.36,6.23,
EVIDENTIAL KIWISAVER SCHEME,BALANCED FUND,Balanced,0.7,,
NZ FUNDS KIWISAVER SCHEME,BALANCED FUND,Balanced,0.0,5.38,
ANZ KIWISAVER SCHEME,BALANCED FUND,Balanced,0.88,6.53,2.98
ASB KIWISAVER SCHEME,BALANCED FUND,Balanced,0.65,9.09,4.93
ONEANSWER KIWISAVER SCHEME,BALANCED FUND,Balanced,0.88,6.53,2.98
BOOSTER KIWISAVER SCHEME,BALANCED FUND,Balanced,1.31,6.17,3.62
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,BALANCED FUND,Balanced,0.8,8.31,4.0
ANZ DEFAULT KIWISAVER SCHEME,BALANCED FUND,Balanced,0.88,6.53,2.98
SIMPLICITY KIWISAVER SCHEME,BALANCED FUND,Balanced,0.25,7.8,4.35
MAS KIWISAVER SCHEME,BALANCED FUND,Balanced,0.98,8.23,4.27
ONEANSWER KIWISAVER SCHEME,BALANCED GROWTH FUND,Growth,0.92,8.03,3.71
ANZ KIWISAVER SCHEME,BALANCED GROWTH FUND,Growth,0.92,8.04,3.71
ANZ DEFAULT KIWISAVER SCHEME,BALANCED GROWTH FUND,Growth,0.92,8.03,3.71
MARITIME KIWISAVER SCHEME,BALANCED PORTFOLIO,Balanced,0.71,5.06,4.68
KOURA KIWISAVER SCHEME,BALANCED STRATEGY,Balanced,1.03,9.44,
FISHER FUNDS KIWISAVER SCHEME,BALANCED STRATEGY,Balanced,1.0,2.34,2.89
BCF KIWISAVER SCHEME,BCF KIWISAVER SCHEME,Defensive,0.98,2.73,2.46
KOURA KIWISAVER SCHEME,BITCOIN FUND,Aggressive,1.2,-19.79,
BNZ KIWISAVER SCHEME,BNZ KIWISAVER BALANCED FUND,Balanced,0.45,7.8,4.43
BNZ KIWISAVER SCHEME,BNZ KIWISAVER CASH FUND,Defensive,0.3,2.28,2.53
BNZ KIWISAVER SCHEME,BNZ KIWISAVER CONSERVATIVE FUND,Conservative,0.45,3.73,2.09
BNZ KIWISAVER SCHEME,BNZ KIWISAVER DEFAULT FUND,Balanced,0.35,8.4,
BNZ KIWISAVER SCHEME,BNZ KIWISAVER FIRST HOME BUYER FUND,Conservative,0.45,3.41,2.62
BNZ KIWISAVER SCHEME,BNZ KIWISAVER GROWTH FUND,Growth,0.45,9.65,5.62
BNZ KIWISAVER SCHEME,BNZ KIWISAVER HIGH GROWTH FUND,Aggressive,0.45,11.42,
BNZ KIWISAVER SCHEME,BNZ KIWISAVER MODERATE FUND,Balanced,0.45,5.85,3.32
BOOSTER KIWISAVER SCHEME,CAPITAL GUARANTEED FUND,Conservative,1.03,2.79,2.63
FISHER FUNDS KIWISAVER PLAN,CASH FUND,Defensive,0.45,2.46,2.68
WESTPAC KIWISAVER SCHEME,CASH FUND,Defensive,0.25,2.45,2.67
